Measure Time,Cuv. No.,Point,Check,SD: 340,SD: 380,SD: 410,SD: 450,SD: 480,SD: 520,SD: 540,SD: 570,SD: 600,SD: 660,SD: 700,SD: 750,SD: 800,OD: 340,OD: 380,OD: 410,OD: 450,OD: 480,OD: 520,OD: 540,OD: 570,OD: 600,OD: 660,OD: 700,OD: 750,OD: 800,
2026/05/15 09:05:33,87,Pw6,1,3748,6815,4891,3691,3970,3339,2931,2532,2445,2857,2166,4221,5155,1.3643,0.9404,0.8927,0.8819,0.7189,0.7016,0.7625,0.8375,0.9041,0.7123,0.673,0.4942,0.4602,Measure
2026/05/15 09:05:33,86,Pw7,1,3887,8905,7460,6068,6680,5887,5220,4370,3784,4818,3750,6370,6927,1.368,0.9468,0.8998,0.8882,0.7238,0.7049,0.7656,0.8408,0.9076,0.7154,0.6756,0.4956,0.4608,Measure
2026/05/15 09:05:42,5,Pw1,1,3846,5908,3955,2743,3219,2835,2703,2556,2682,3500,2818,5267,6214,1.3766,0.9529,0.9035,0.8916,0.7281,0.7101,0.7708,0.8457,0.9121,0.7198,0.6801,0.5013,0.4678,Measure
2026/05/15 09:05:42,4,Pw2,1,1819,3644,3092,3690,4612,4904,4588,4311,3966,4309,5215,4863,4689,1.3628,0.9403,0.8924,0.8817,0.7189,0.7016,0.7627,0.838,0.9048,0.7131,0.6741,0.4954,0.4624,Measure
2026/05/15 09:05:42,3,Pw3,1,3690,7923,5769,3897,3982,3204,2787,2417,2211,2844,1498,3957,4657,1.3691,0.9445,0.896,0.8844,0.7209,0.7031,0.7639,0.8387,0.9051,0.7127,0.6733,0.4944,0.4606,Measure
2026/05/15 09:05:42,2,Pw4,1,5892,6719,3305,2021,3247,4794,5180,5453,5697,6849,8271,9247,9633,1.3638,0.9427,0.8951,0.8837,0.7204,0.7031,0.7641,0.8394,0.906,0.7134,0.6739,0.4952,0.4613,Measure
2026/05/15 09:05:42,1,Pw5,1,5307,8526,6160,4120,4324,3331,2965,2608,2339,3096,1595,4463,5140,1.3589,0.9368,0.8891,0.8782,0.7152,0.6979,0.7589,0.8342,0.9009,0.7091,0.67,0.4914,0.4579,Measure
2026/05/15 09:05:42,88,Pw6,1,1510,2805,610,1621,2231,2602,2400,2229,2072,1685,2765,1435,1560,1.3777,0.9556,0.9061,0.8927,0.7285,0.7099,0.7703,0.8448,0.9109,0.7179,0.6778,0.4988,0.4645,Measure
2026/05/15 09:05:42,87,Pw7,1,3470,6302,4479,3443,3776,3160,2861,2475,2435,2971,2276,4304,5152,1.3639,0.94,0.8924,0.8817,0.7187,0.7014,0.7623,0.8373,0.9039,0.7121,0.6729,0.494,0.46,Measure
2026/05/15 09:05:51,6,Pw1,1,3000,6511,5852,5566,6917,7132,6611,5960,5438,7052,7398,9004,9408,1.3624,0.9432,0.8954,0.8839,0.721,0.7038,0.7649,0.8402,0.9068,0.715,0.6757,0.497,0.464,Measure
